id,symbol,full_name
1673723677362320078,KUB,Bitkub Coin
1673723677362320079,AXL,Axelar
1673723677362320080,ELF,aelf
1673723677362320083,EWT,Energy Web
1673723677362320084,STG,Stargate Finance
1673723677362320085,SUSHI,Sushi
1673723677362320086,USTC,TerraClassicUSD
1673723677362320087,SYN,Synapse
1673723677362320089,AMP,Amp
1673723677362320090,LPT,Livepeer
1673723677362320091,SKL,SKALE
1673723677362320092,HIVE,Hive
1673723677362320093,UMA,UMA
1673723677362320094,JOE,JOE
1673723677362320095,ACS,Access Protocol
1673723677362320096,RSR,Reserve Rights
1673723677362320098,LSK,Lisk
1673723677362320101,DGB,DigiByte
1673723677362320102,EVER,Everscale
1673723677362320104,ACH,Alchemy Pay
1673723677362320105,MSOL,Marinade staked SOL
1673723677362320107,DAG,Constellation
1673723677362320108,MLK,MiL.k Alliance
1673723677362320109,BRISE,Bitgert
1673723677362320110,SFM,SafeMoon
1673723677362320111,DESO,Decentralized Social
1673723677362320112,VVS,VVS Finance
1673723677362320113,TEL,Telcoin
1673723677362320114,CTSI,Cartesi
1673723677362320115,NYM,Nym
1673723677362320117,TRAC,OriginTrail
1673723677362320119,ALPHA,Stella
1673723677362320121,RLC,iExec RLC
1673723677362320122,CKB,Nervos Network
1673723677362320123,KNC,Kyber Network Crystal
1673723677362320124,ZEN,Horizen
1673723677362320125,ELON,Dogelon Mars
1673723677362320126,NFT,APENFT
1673723677362320128,WILD,Wilder World
1673723677362320129,FX,Function X
1673723677362320130,SYS,Syscoin
1673723677362320131,CWEB,Coinweb
1673723677362320132,POLYX,Polymesh
1673723677362320133,RAD,Radworks
1673723677362320134,XNO,Nano
1673723677362320135,RIF,RSK Infrastructure Framework
1673723677362320136,PUNDIX,Pundi X
1673723677362320138,ERG,Ergo
1673723677362320140,ID,SPACE ID
1673723677362320141,API3,API3
1673723677362320142,METIS,Metis
1673723677362320143,MTL,Metal DAO
1673723677362320144,SNT,Status
1673723677362320145,PROM,Prom
1673723677362320150,CELR,Celer Network
1673723677362320153,NRV,Nerve Finance
1673723677362320157,OMG,OMG Network
1673723677362320159,LQTY,Liquity
1673723677362320164,DKA,dKargo
1673723677362320166,NMR,Numeraire
1673723677362320167,DEXE,DeXe
1673723677362320170,SCRT,Secret
1673723677362320172,LINA,Linear
1673723677362320173,PYR,Vulcan Forged
1673723677362320174,ALI,Artificial Liquid Intelligence
1673723677362320176,STEEM,Steem
1673723677362320177,MED,Medibloc
1673723677362320178,CQT,Covalent
1673723677362320179,C98,Coin98
1673723677362320180,SHR,Share
1673723677362320182,PCX,ChainX
1673723677362320184,RDNT,Radiant Capital
1673723677362320185,AWE,AWE Network
1673723677362320186,CHR,Chromia
1673723677362320187,ORBS,Orbs
1673723677362320189,IQ,IQ
1673723677362320190,WCFG,Wrapped Centrifuge
1673723677362320191,CFG,Centrifuge
1673723677362320193,ALICE,My Neighbor Alice
1673723677362320195,MULTI,Multichain
1673723677362320196,DENT,Dent
1673723677362320197,WNXM,Wrapped NXM
1673723677362320198,SLP,Smooth Love Potion
1673723677362320200,MVL,MVL
1673723677362320201,HEART,Humans.ai
1673723677362320203,COMBO,COMBO
1673723677362320204,SGB,Songbird
1673723677362320207,VTHO,VeThor
1673723677362320209,ARDR,Ardor
1673723677362320210,STRAX,Stratis
1673723677362320211,HFT,Hashflow
1673723677362320213,WIN,WINkLink
1673723677362320214,10SET,Tenset
1673723677362320215,PEOPLE,ConstitutionDAO
1673723677362320216,MBOX,Mobox
1673723677362320217,PHA,Phala
1673723677362320218,POND,Marlin
1673723677362320220,GTC,Gitcoin
1673723677362320221,CVC,Civic
1673723677362320222,BFC,Bifrost
1673723677362320223,GEL,Gelato
1673723677362320224,REQ,Request
1673723677362320226,CANTO,CANTO
1673723677362320228,BNT,Bancor Network
1673723677362320229,GAL,Galxe
1673723677362320230,NKN,NKN
1673723677362320231,POWR,Power Ledger
1673723677362320232,CTK,Shentu
1673723677362320234,COTI,COTI
1673723677362320237,REN,REN
1673723677362320238,TLOS,Telos
1673723677362320240,SPELL,Spell
1673723677362320241,EURC,Euro Coin
1673723677362320242,PENDLE,Pendle
1673723677362320243,XVS,Venus
1673723677362320244,QKC,QuarkChain
1673723677362320245,SUN,Sun Token
1673723677362320246,CTC,Creditcoin
1673723677362320247,POKT,Pocket Network
1673723677362320249,DEXT,DexTools
1673723677362320251,HOOK,Hooked Protocol
1673723677362320255,KEEP,Keep Network
1673723677362320257,ALEX,ALEX Lab
1673723677362320258,UOS,Ultra
1673723677362320260,QANX,QANplatform
1673723677362320261,CEL,Celsius Network
1673723677362320262,CEEK,CEEK Smart VR
1673723677362320264,ARPA,ARPA
1673723677362320266,BOBA,Boba Network
1673723677362320267,ARRR,Pirate Chain
1673723677362320268,MBX,Marblex
1673723677362320269,GHST,Aavegotchi
1673723677362320271,DUSK,DUSK Network
1673723677362320274,VRA,Verasity
1673723677362320278,SUSD,sUSD
1673723677362320279,WMT,World Mobile Token
1673723677362320281,SUPER,SuperVerse
1673723677362320283,RSS3,RSS3
1673723677362320285,XYO,XYO Network
1673723677362320286,NXRA,AllianceBlock Nexera
1673723677362320289,ZIG,Zignaly
1673723677362320290,RARE,SuperRare
1673723677362320293,TRU,TrueFi
1673723677362320295,KILT,KILT Protocol
1673723677362320296,VR,Victoria VR
1673723677362320297,RLY,Rally
1673723677362320299,GMT,Gomining Token
1673723677362320300,BADGER,Badger DAO
1673723677362320301,SOLO,Sologenic
1673723677362320302,IDEX,IDEX
1673723677362320303,FUN,FUNToken
1673723677362320305,AERGO,Aergo
1673723677362320306,MBL,MovieBloc
1673723677362320307,LCX,LCX
1673723677362320310,ARK,ARK
1673723677362320311,PRIME,Echelon Prime
1673723677362320314,CBK,Cobak
1673723677362320315,ZCX,Unizen
1673723677362320316,DODO,DODO
1673723677362320318,TLM,Alien Worlds
1673723677362320319,REP,Augur
1673723677362320320,STMX,StormX
1673723677362320323,WRX,WazirX
1673723677362320324,MOVR,Moonriver
1673723677362320325,SFUND,Seedify.fund
1673723677362320327,BMEX,BitMEX
1673723677362320328,RACA,Radio Caca
1673723677362320329,KEY,SelfKey
1673723677362320330,RAY,Raydium
1673723677362320332,OGN,Origin Protocol
1673723677362320336,REEF,Reef
1673723677362320338,DIONE,Dione
1673723677362320339,ATA,Automata
1673723677362320342,FEI,Fei USD
1673723677362320343,BEL,Bella Protocol
1673723677362320346,WAN,Wanchain
1673723677362320347,MTRG,Meter Governance
1673723677362320349,GAFI,GameFi
1673723677362320351,VGX,Voyager VGX
1673723677362320352,FINE,Refinable
1673723677362320353,AGLD,Adventure Gold
1673723677362320354,VLX,Velas
1673723677362320358,TPT,TokenPocket Token
1673723677362320359,LAT,PlatON Network
1673723677362320360,QUACK,Rich Quack
1673723677362320361,LADYS,Milady Meme Coin
1673723677362320363,STORJ,Storj
1673723677362320386,TRX,TRON
1685599799167254531,MNT,Mantle
