2025-07-11 17:46:04,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,Jupiter,Raydium,0.00195549,0.00196500,0.49
2025-07-11 17:46:34,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,Jupiter,Raydium,0.00195716,0.00196100,0.20
2025-07-11 17:47:04,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,Jupiter,Raydium,0.00195667,0.00196100,0.22
2025-07-11 17:47:34,Pnut,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,Jupiter,Raydium,0.29344207,0.29460000,0.39
2025-07-11 17:47:34,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,Jupiter,Raydium,0.00195479,0.00196600,0.57
2025-07-11 17:48:04,Pnut,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,Jupiter,Raydium,0.29417615,0.29460000,0.14
2025-07-11 17:48:04,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,Jupiter,Raydium,0.00195913,0.00196600,0.35
2025-07-11 17:48:34,Pnut,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,Raydium,Jupiter,0.29330000,0.29435163,0.36
2025-07-11 17:48:34,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,Jupiter,Raydium,0.00195988,0.00196500,0.26
2025-07-11 17:49:04,Pnut,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,Raydium,Jupiter,0.29330000,0.29445168,0.39
2025-07-11 17:49:04,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,Jupiter,Raydium,0.00196166,0.00196500,0.17
2025-07-11 17:49:34,Pnut,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,Jupiter,Raydium,0.29414389,0.29490000,0.26
2025-07-11 17:49:34,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,Jupiter,Raydium,0.00196188,0.00196500,0.16
2025-07-11 17:50:04,Pnut,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,Jupiter,Raydium,0.29384323,0.29490000,0.36
2025-07-11 17:50:04,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,Jupiter,Raydium,0.00195957,0.00196500,0.28
2025-07-11 17:52:04,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,Raydium,Jupiter,0.00195000,0.00196039,0.53
2025-07-11 17:52:34,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,Raydium,Jupiter,0.00195000,0.00195911,0.47
